"OCCP_H","OCCP_W","Husband_Occ","Wife_Occ","PctMen","pct_couples"
10,10,"Chief executives and legislators","Chief executives and legislators",0.00273065936291799,0.17455391776571
430,10,"Miscellaneous managers","Chief executives and legislators",0.00392016672079882,0.078355314197052
4710,10,"Non-retail sales supervisors","Chief executives and legislators",0.00280105641786677,0.0224980605120248
50,10,"Marketing and sales managers","Chief executives and legislators",0.00502048481053775,0.0186190845616757
120,10,"Financial managers","Chief executives and legislators",0.00424293711708819,0.0170674941815361
4700,10,"Retail sales supervisors","Chief executives and legislators",0.0105969575346767,0.0209464701318852
2100,10,"Lawyers and judges","Chief executives and legislators",0.00681569094562577,0.0170674941815361
205,10,"Farmers, ranchers, and other agricultural managers","Chief executives and legislators",5.27120002940588e-05,0.0100853374709077
710,10,"Management analysts","Chief executives and legislators",0.0058695780873211,0.0155159038013964
850,10,"Personal financial advisors","Chief executives and legislators",0.0019448136073636,0.0108611326609775
220,10,"Construction managers","Chief executives and legislators",0.00354392365795544,0.0116369278510473
4920,10,"Real estate agents","Chief executives and legislators",0.00134375839730615,0.00930954228083786
410,10,"Property, real estate, and community association managers","Chief executives and legislators",0.00135736384616827,0.00930954228083786
1530,10,"Miscellaneous engineers","Chief executives and legislators",0.00171815535055802,0.00930954228083786
2310,10,"Elementary and middle school teachers","Chief executives and legislators",0.00620175275322273,0.013188518231187
230,10,"Education administrators","Chief executives and legislators",0.00244342820094314,0.00930954228083786
110,10,"Computer and information systems managers","Chief executives and legislators",0.00393774367493483,0.0100853374709077
800,10,"Accountants and auditors","Chief executives and legislators",0.00783720407423564,0.0139643134212568
6200,10,"Construction supervisors","Chief executives and legislators",0.00793287445984017,0.0124127230411171
4840,10,"Services sales representatives","Chief executives and legislators",0.00916239327510794,0.013188518231187
5000,10,"Office and administrative support supervisors","Chief executives and legislators",0.0071573107754708,0.0100853374709077
1020,10,"Software developers","Chief executives and legislators",0.0148153517128836,0.0147401086113266
3850,10,"Police officers","Chief executives and legislators",0.00895286847500237,0.00853374709076804
4850,10,"Wholesale sales representatives","Chief executives and legislators",0.0199257907374625,0.0178432893716059
20,10,"General and operations managers","Chief executives and legislators",0.0246171408525508,0.0162916989914663
9130,10,"Truck drivers","Chief executives and legislators",0.043959900952662,0.0224980605120248
4760,10,"Retail salespersons","Chief executives and legislators",0.0369939956185053,0.0116369278510473
430,20,"Miscellaneous managers","General and operations managers",0.00392016672079882,0.0633727175080559
4700,20,"Retail sales supervisors","General and operations managers",0.0105969575346767,0.0440386680988185
4710,20,"Non-retail sales supervisors","General and operations managers",0.00280105641786677,0.0290010741138561
20,20,"General and operations managers","General and operations managers",0.0246171408525508,0.046186895810956
10,20,"Chief executives and legislators","General and operations managers",0.00273065936291799,0.0236305048335124
800,20,"Accountants and auditors","General and operations managers",0.00783720407423564,0.0193340494092374
220,20,"Construction managers","General and operations managers",0.00354392365795544,0.0150375939849624
7700,20,"Production supervisors","General and operations managers",0.0077811311305417,0.0139634801288937
6200,20,"Construction supervisors","General and operations managers",0.00793287445984017,0.0128893662728249
6230,20,"Carpenters","General and operations managers",0.00994912444048273,0.0139634801288937
4850,20,"Wholesale sales representatives","General and operations managers",0.0199257907374625,0.0214822771213749
7340,20,"General maintenance and repair workers","General and operations managers",0.020169687698394,0.0128893662728249
9130,20,"Truck drivers","General and operations managers",0.043959900952662,0.0290010741138561
9620,20,"Laborers and hand movers","General and operations managers",0.0324911534704174,0.0128893662728249
4760,20,"Retail salespersons","General and operations managers",0.0369939956185053,0.0139634801288937
430,50,"Miscellaneous managers","Marketing and sales managers",0.00392016672079882,0.0739074550128535
50,50,"Marketing and sales managers","Marketing and sales managers",0.00502048481053775,0.038560411311054
10,50,"Chief executives and legislators","Marketing and sales managers",0.00273065936291799,0.0231362467866324
4700,50,"Retail sales supervisors","Marketing and sales managers",0.0105969575346767,0.0244215938303342
4850,50,"Wholesale sales representatives","Marketing and sales managers",0.0199257907374625,0.0334190231362468
4710,50,"Non-retail sales supervisors","Marketing and sales managers",0.00280105641786677,0.0160668380462725
120,50,"Financial managers","Marketing and sales managers",0.00424293711708819,0.0160668380462725
2100,50,"Lawyers and judges","Marketing and sales managers",0.00681569094562577,0.0179948586118252
4840,50,"Services sales representatives","Marketing and sales managers",0.00916239327510794,0.0199228791773779
110,50,"Computer and information systems managers","Marketing and sales managers",0.00393774367493483,0.0141388174807198
220,50,"Construction managers","Marketing and sales managers",0.00354392365795544,0.0134961439588689
